dataset_family,artifact_role,source_file_name,release_relative_path,bytes,sha256,public_access_status
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed47.csv,data/restricted/Mannino/mannino_pool_n50_seed47.csv,1708,d9db1b735a91ac3eb6239ae8a8b7609afbfab3020ae39910a86c45262c15290a,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed7.csv,data/restricted/Mannino/mannino_pool_n50_seed7.csv,1697,cefcd8bfd5b9801ad062ab9edce12c3234b5656ea13974230be7683809590ab3,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed11.csv,data/restricted/Mannino/mannino_pool_n70_seed11.csv,2332,3c100805fa639fb1d2bf45da878077ea928af731ad6fbcf33b00ac024130c236,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed19.csv,data/restricted/Mannino/mannino_pool_n70_seed19.csv,2339,75adce5118395dd7b0db49fc6dc0c8195bb61160a4f235245eda7e86846a9412,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed23.csv,data/restricted/Mannino/mannino_pool_n70_seed23.csv,2348,3c514e7cef33566b3e9ed297298ac4c38d286da7dc289c0f625fb6479e50205e,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed29.csv,data/restricted/Mannino/mannino_pool_n70_seed29.csv,2346,e803b12ca1d16c533d03eed5984879dd99a40ead11a235a6bcda21f1f9e3c972,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed31.csv,data/restricted/Mannino/mannino_pool_n70_seed31.csv,2341,7b50a869a335db6e809bea28df31e54ae0a2c9e3057fd92a3618467111fe2eed,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed37.csv,data/restricted/Mannino/mannino_pool_n70_seed37.csv,2351,1960df45acb7ff1673d458b87a1b8ba8da8bb1bccede8a55889c19313798a930,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed41.csv,data/restricted/Mannino/mannino_pool_n70_seed41.csv,2348,6111cc14e26b68885561aa4892583b6252c8756c7ff551148e1dc96737cf919f,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed43.csv,data/restricted/Mannino/mannino_pool_n70_seed43.csv,2367,3ad15cf2205ccfee593aebb5cf3091a1f4627f7e7d5abaaef07cb41d7344f282,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed47.csv,data/restricted/Mannino/mannino_pool_n70_seed47.csv,2350,67f4996d0cd6ca4e8530e6a714178262fd39f73571ccaa209f228b1c9812fb4e,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed7.csv,data/restricted/Mannino/mannino_pool_n70_seed7.csv,2332,e1cb8f53eb9aa4186c5f7147691a5ea1251f000005b26469a4a80b5eb3be2921,hash_only_not_redistributed_pending_explicit_permission
